	From	Amount
0	WN6IA5FQR4KE2XGCM3ZPAUBUZ3AZS6VIGSN63LB63QXKPFQD3GXR4QEWEM	29,778,841.42 Choice
1	5F5XDX2Q4HK3F4RLNLLQRVMRHI42GCSFKMFOSC4FNDXW2UTOBXY5OWAHXU	3.4
2	3EOQEWFQACSBUBPJXJWQ2FYUJYVCHDQ2BIY7HTX5YFV5VXUZDLTV3DGX7Q	11,124.41 Choice
3	3EOQEWFQACSBUBPJXJWQ2FYUJYVCHDQ2BIY7HTX5YFV5VXUZDLTV3DGX7Q	23,591 Choice
4	RFBSX5P6NQHPAEJ22IN3SHBJ4W5EVDX52VX4VBLHQUVMD52DJJUWCKDFSI	10 Choice
5	RFBSX5P6NQHPAEJ22IN3SHBJ4W5EVDX52VX4VBLHQUVMD52DJJUWCKDFSI	2 Choice
6	SHSVAPD3KMF6IXCKPQRRRE3SZKDZ43H5UT2EHUZBAQZJEYBJAYCOQAVYSI	20,653 Choice
7	5CQWJGYHVX2YOOT4LFCP5TP5RNBSS64GK3HNHGLF3UJ7GCCEGNT3AJOBAA	500 Choice
8	APJUGCWYTG2VAWPGWWDBRYUU3ZE3MNNXS3KH2FOUFKTBP7I76CUD2BPUSI	99.69 Choice
9	USNVBAWXO3E4TNTM762QAEIAQOS7TDDC5JF6GZASUM3WMVLKYNUUL3HQMI	1 Choice
10	T7RDYVHWGMEUET2XT6R5VVMDMGHM24LLVT6BRTINL3G7WZYJHRPGUJ47PQ	30,586 Choice
11	47556QB2B4RTFALRTRXGEMO5QLH5PNPXRV2O6QEXLF5BVXT73GKORUIXQE	66,765 Choice
12	P72UA5RNPL4LMAFGADIP6WOSXQXIIMICBHV3LEPERWKCEO75VJBSXXER2I	21,755.96 Choice
13	ULKJUBJCGRELJ3VO4I5DZMPG5DLFE4WYUSXU3LHHXOMWKZ3LM34QCEIQLM	1 Choice
14	O4VQOR7NK7ZRJIKEBY73VL233JKPNEVF37WVI6VKRFIQUIA7FQJDVF3OSQ	10 Choice
15	CU3QNG7XJ25JBPXJRGSMZQNP2WSXPNSHWGCTMNBZMRJJ5YZSAETMXBL6YI	2 Choice
16	W3LDQG4MOWMEJ4PEJPLCX4W23XELS7HD4LIC57SVV4XIFAJZN65TUY26I4	20,653 Choice
17	EU6FGLIPNQ4RH54IRFFQF4KXALX4BYL6XGHU5GA6K3SXUFCGE232CMSZ7Q	500 Choice
18	36X2NU3RXBMHVYIZNLWUZS6JOZCNZWGLJMNQ5P2FCHBHUV6TR443DCQXWM	99.69 Choice
19	ICZ6ET5NGNTGEATHHDDIIEKD7767J4PY247VRMFJO53E23KDLUIFZ6CVJU	1 Choice
20	S2YGM2B4WLDSBS7VAKST7L4YWHVRD3WNEAKNPA7V27VYP3BEICN6BECG24	17,508 Choice
21	KRZYFYXTQ3YK5ADN4VFYFHGRLA6RGUIEO3D54LZC3MV5LKI66P3LDLPVTI	176.78 Choice
22	IHO3P4SVSR7ZKEATJ7M7ASWO37YDMGY2D2LGAXVLI6IKWYC2HPMHKGYHFU	12,712.92 Choice
23	4OZMZUYDTVIY4LBEOA6VN42QB3VWWOA3VBBB7QPS2L5UISSE5L2D2BZGBU	13 Choice
24	65BVO5MRYD7KXLETW3FUZIGT36PGP4DNCDXE23YYDCHDZVDHP55JYMI7EI	50,000 Choice
25	M6DGARECI4RCRLQVEQVXSYMQPGNQPHT2SULNFPB3AWKUGGOJLQS7L3PJYU	100 Choice
26	65BVO5MRYD7KXLETW3FUZIGT36PGP4DNCDXE23YYDCHDZVDHP55JYMI7EI	9,273 Choice
27	EFVQR66C334CGT276NO3WHOUIHING33BO2XYOZS6ASBDHUMYSVKXSZQY4E	10,417 Choice
28	EFVQR66C334CGT276NO3WHOUIHING33BO2XYOZS6ASBDHUMYSVKXSZQY4E	40,000 Choice
29	3XVJ2KGI7Y2ODFMQJ6DIHCLT2M63ALPJWCGXQXJWDH5MSSHNR7B3HJIRJA	219 Choice
30	S2YGM2B4WLDSBS7VAKST7L4YWHVRD3WNEAKNPA7V27VYP3BEICN6BECG24	1,690,000 Choice
31	KRZYFYXTQ3YK5ADN4VFYFHGRLA6RGUIEO3D54LZC3MV5LKI66P3LDLPVTI	165.51 Choice
32	IHO3P4SVSR7ZKEATJ7M7ASWO37YDMGY2D2LGAXVLI6IKWYC2HPMHKGYHFU	1 Choice
33	4OZMZUYDTVIY4LBEOA6VN42QB3VWWOA3VBBB7QPS2L5UISSE5L2D2BZGBU	92 Choice
34	65BVO5MRYD7KXLETW3FUZIGT36PGP4DNCDXE23YYDCHDZVDHP55JYMI7EI	290 Choice
35	M6DGARECI4RCRLQVEQVXSYMQPGNQPHT2SULNFPB3AWKUGGOJLQS7L3PJYU	2,106,941 Choice
36	65BVO5MRYD7KXLETW3FUZIGT36PGP4DNCDXE23YYDCHDZVDHP55JYMI7EI	290 Choice
37	EFVQR66C334CGT276NO3WHOUIHING33BO2XYOZS6ASBDHUMYSVKXSZQY4E	1 Choice
38	EFVQR66C334CGT276NO3WHOUIHING33BO2XYOZS6ASBDHUMYSVKXSZQY4E	1,500 Choice
39	3XVJ2KGI7Y2ODFMQJ6DIHCLT2M63ALPJWCGXQXJWDH5MSSHNR7B3HJIRJA	500 Choice
40	EJ33U3PAF23AUT2P3HIY4E7BI4UAE2PHPHQVOTABICVGFVRGB62VKKULZE	166,103 Choice
41	PQPPTTYZC7BY2CJN4HOW34PL4E4XHNEG7TTBEFAZF36M5F3PUYNTBDIHBY	15 Choice
42	WXIVDKGSBDBLBNKP3ZYEXJU5WHBEPYLKOQAWXBYFGJ6VDVZQA3WCLSE4WA	186,600 Choice
43	D73EIOFYMTSYF2OBOUJW4ZPXPMZJ22GWUY6HY7VGCFX5T6U3VPK5VWMN5I	1 Choice
44	DNF2WRWW2H3V26YR5BUCLKIUKFLTOOBBFUR6OWSSYSZGEYPQDQC3B4TAOI	12,300.72 Choice
45	J4DHYLTCVULW773YVQ3PK7RIMOETAWZ2OLMMPVWFEUR4JYBOANJI7ED7FE	10,000 Choice
46	QZYDDAY437K5DZ7U3ZJ5MXKMSLJRKLWJUSLJ5WXTGE5VLYHIT7SJ3D76YQ	510,000 Choice
47	PB4OH3X2YFCDOFU75PVFHC4FSAOVBMJJG7GVMRK433GATX6EBRXUYKADTM	1,124 Choice
48	ETT4BWE5FSJMAZJKGMRZFBRLVYSVSXVG5FULK34LXMLJ7J2UKLMO5DNB6U	46,524.67 Choice
49	3AJGLNBO5OOILRIVXDJ5TAAVSSKMIJDMI5T23MIDFOKZNLRNQ5FMIZQKRA	212,000 Choice
50	EJ33U3PAF23AUT2P3HIY4E7BI4UAE2PHPHQVOTABICVGFVRGB62VKKULZE	166,103 Choice
51	PQPPTTYZC7BY2CJN4HOW34PL4E4XHNEG7TTBEFAZF36M5F3PUYNTBDIHBY	15 Choice
52	SWZCEHH3NLT4K5PTLZYBHWHDG5NPOOYMBOBDC5VVT7DI5CQ3DLHDVMF4GE	186,600 Choice
53	FQSWNAE6KWQQZMEA3BNFXWAKNIMA37H62EUBS35GZ43X6SIQ4JL262G5RU	1 Choice
54	HLUHD6V3CDMAPKPKY34ML3BQUZ4IPSKLCCAJIP26FBPCW5AJMFS554UAVE	12,300.72 Choice
55	IWGN6U3TR3N5HA4JU7WF76BKIL56GZNZFISGTH5AUZFD5RXE7LUIQERF4U	10,000 Choice
56	5UM3GPAHRXZGTHXZGKDK5A7DDUAZRHOVPFYWSSI77N4KREQFZCVAW2F3BM	510,000 Choice
57	KVDAVPZ2MLJEOJ3HYCCHUS47HYMNCAOWISCKWNMUCTKQLIVXXZLZINFH6A	1,124 Choice
58	K5TPEBPC7JZWLSQ5HDNZRCP3ZAXB24M5JM3AXJJ75EQDIIXMP3SKJOZYEA	46,524.67 Choice
59	IJLFVZSRNSUWEBMG2EQYVHTHA7CF6J4CM3CFPT3EUDTQ5SR7DAB3HDTI64	212,000 Choice
60	7T4QDZ6HAH4MBHDIDINXJGBVFX2B3EUPA6HWOXKHGHX5RL7PTCOVN5QSVM	2,274 Choice
61	7T4QDZ6HAH4MBHDIDINXJGBVFX2B3EUPA6HWOXKHGHX5RL7PTCOVN5QSVM	1 Choice
62	SWZCEHH3NLT4K5PTLZYBHWHDG5NPOOYMBOBDC5VVT7DI5CQ3DLHDVMF4GE	1 Choice
63	FQSWNAE6KWQQZMEA3BNFXWAKNIMA37H62EUBS35GZ43X6SIQ4JL262G5RU	305,611 Choice
64	HLUHD6V3CDMAPKPKY34ML3BQUZ4IPSKLCCAJIP26FBPCW5AJMFS554UAVE	82,457.23 Choice
65	XCQIBEJVGXYPIQBIGMYFC7SB5KHT7XDVZMSNNUL6SDXBTQPHCAUDPHU6RU	291,907 Choice
66	ULKJUBJCGRELJ3VO4I5DZMPG5DLFE4WYUSXU3LHHXOMWKZ3LM34QCEIQLM	18,557 Choice
67	6CGHQGDI5TC5PPDPPOL5UIOXKSC2GXYK3LPQFHKLUSQJ4GOXBHJ2NH27NY	83.02 Choice
68	QTWXMYY2ZTSTU7P7OU6UALK52OMOWSOQBTOMNZ7OWIJDOEZ4XBOKN3UZOQ	222,464 Choice
69	PNCFHJVW745E6TTL3TUEPS32M7URUYZZE6JBYGWUGG6AAPREGC36J7ZK7U	639 Choice
70	Z2GKR7XRSNJJJV36Z7C6P7CKMPP3XPNBR3E7KK523UH4L74UUIJKPF37LY	94 Choice
71	FVVA7WLFYETZW5GJFTSKDYI5G2KG5WJUR6NZ62W5ARXBI6AZMZ2BPAXZJM	500 Choice
72	BLULZIHFMRNB3P64EZ627JSKIMT7D5AJXT34GOCR5G6QM7QY5HRFXQU7NU	177,500 Choice
73	2NPXEOYKR4DNAUSN2CW2HP24NP2R5GXZCB54B5IM3KM73PY2IC2PGOVND4	161,936 Choice
74	5KZ5LHJ3VM6T2FVSDO7XIPURLRBTU32JHVJUBCOZWT44BDPBQ23JFMIU4I	10,000 Choice
75	XCQIBEJVGXYPIQBIGMYFC7SB5KHT7XDVZMSNNUL6SDXBTQPHCAUDPHU6RU	1,503,610.29 Choice
76	ULKJUBJCGRELJ3VO4I5DZMPG5DLFE4WYUSXU3LHHXOMWKZ3LM34QCEIQLM	11,295 Choice
77	6CGHQGDI5TC5PPDPPOL5UIOXKSC2GXYK3LPQFHKLUSQJ4GOXBHJ2NH27NY	129,820 Choice
78	QTWXMYY2ZTSTU7P7OU6UALK52OMOWSOQBTOMNZ7OWIJDOEZ4XBOKN3UZOQ	234,517 Choice
79	PNCFHJVW745E6TTL3TUEPS32M7URUYZZE6JBYGWUGG6AAPREGC36J7ZK7U	1,400 Choice
80	SFRPHD5GTSDGSFQPLRQIKATPINYSXIBKWQK6ABN5KTSASUEUNANJKAF44U	100 Choice
81	2OFDYTRHJPM5SYD6E2L4QCZN6ULSTYJPFAXNBYXKIMVJQN6MVYCDCYEUQA	20,000 Choice
82	ZENPJCF6PTQM4WR2VPUFN6STB3VGUGI52CI7SVECA5UBU2YCZ66ANQTR64	1,603 Choice
83	P3JLV7RZKG4LL6EVDAUVCR4RW7TMDNZOT5E3NUPW6427DU43VILESV7D74	13,000 Choice
84	4OZMZUYDTVIY4LBEOA6VN42QB3VWWOA3VBBB7QPS2L5UISSE5L2D2BZGBU	1 Choice
85	XFOQO5VH2LGPM2GSYLOXZXF6GLT5Y64UQ6XWOZM5EXGJKHYQCVS2ENRVKU	1 Choice
86	C5MWAU6LKHA6RBEX4224MZQD3GTUEL2AXEOTJDYENT6U5W2UTIK4GZEFZI	1,000 Choice
87	KGLUF5WZMLDMLT67FLZZSY4MMSR5PDRRHTTF75DV5GG2NXGCHT7MB7LPKM	70,000 Choice
88	PAPZFFMC4FXBJ54OKBAJSAQ34FKRW7KLQTYUNTJTV3I6PO37CUQDJTW2BA	5,881.28 Choice
89	BBHTP2POLRGWUZTGQ36PMJ4T4TNZMX42F2FEX6LY6BLLFC2L6XIAJKNZ24	8,479.33 Choice
90	5MR2CSNP7IXLY7FAEGOMJRPZUDUCBD4IWUTB5HX54SF6RG2EC47SLZVQ3U	400 Choice
91	5QLSBD3MY4TGLK3PMTHVQ5XLDQ3LS7N2S2CFFRQYFBI2FXWWWA3PI2FQQM	10,828 Choice
92	PZM2YC5YER6DYGF3COSEZNB2DXGXZ5NQOY2Y3GTVVF6EWTZVNJZ6EAGY7U	5,123 Choice
93	DY6TCA2FAKCG7KRUMQ442V3WT547LUZPTHEOBJ7P4OL2AQMKGOTXQCIC3E	29 Choice
94	ITOIYLGDXAS3AT5TVFMD2OU4L7Q5FZOFMJK7T3C3AX4O75RQGPFDL4UPZE	1 Choice
95	ITOIYLGDXAS3AT5TVFMD2OU4L7Q5FZOFMJK7T3C3AX4O75RQGPFDL4UPZE	15,000 Choice
96	4JH67XOJPXYJCD2O4A3BXFRBLDHKCYWQAPG6MFAMVQDHOKROADQZYYKIAA	200.4 Choice
97	IJLFVZSRNSUWEBMG2EQYVHTHA7CF6J4CM3CFPT3EUDTQ5SR7DAB3HDTI64	1 Choice
98	ZOQEBPXOSAD3KCF6K36YTTOGIXS7N7KGU7WAF2INZ76PMNOVAQXYGITHIM	0 Choice
99	DNSXPZ6XURDW7KNTPZR2E73APNHOBJREZY5YRHDE7CPTH75I7Y36WTKAAY	5,440.46 Choice
100	WMJZYDEWJLYVZYIPW55TKM5BBC4YWRST2M4MOBU5XTISSHIY4PZVH3CNIA	10,000 Choice
101	THGUJR7LP4B5JWLKB5D24TQTVKAYORKVXXO7VTPKUHC6EDCABRGMAFV564	170,000 Choice
102	PZM2YC5YER6DYGF3COSEZNB2DXGXZ5NQOY2Y3GTVVF6EWTZVNJZ6EAGY7U	10,673 Choice
103	DY6TCA2FAKCG7KRUMQ442V3WT547LUZPTHEOBJ7P4OL2AQMKGOTXQCIC3E	51,000 Choice
104	ITOIYLGDXAS3AT5TVFMD2OU4L7Q5FZOFMJK7T3C3AX4O75RQGPFDL4UPZE	1,300 Choice
105	ITOIYLGDXAS3AT5TVFMD2OU4L7Q5FZOFMJK7T3C3AX4O75RQGPFDL4UPZE	1 Choice
106	4JH67XOJPXYJCD2O4A3BXFRBLDHKCYWQAPG6MFAMVQDHOKROADQZYYKIAA	5,000 Choice
107	IJLFVZSRNSUWEBMG2EQYVHTHA7CF6J4CM3CFPT3EUDTQ5SR7DAB3HDTI64	11,000 Choice
108	ZOQEBPXOSAD3KCF6K36YTTOGIXS7N7KGU7WAF2INZ76PMNOVAQXYGITHIM	2,900 Choice
109	DNSXPZ6XURDW7KNTPZR2E73APNHOBJREZY5YRHDE7CPTH75I7Y36WTKAAY	26,142 Choice
110	ZO5FZCQWF32B6E2GRCLL5GOFVWHTCGAYWX53NSN5MTKKZXUD5IL3WPBZFE	251,330 Choice
111	ZO5FZCQWF32B6E2GRCLL5GOFVWHTCGAYWX53NSN5MTKKZXUD5IL3WPBZFE	1 Choice
112	FXPNBBP2D4FEC3KXJOECWIQVJVXS5GY5EEQMSFLWFR5E6EES3HA4DRML64	60,000 Choice
113	RZ65BIVBOCOET7HV5I7VT3E2QN5NZRDRLQYSYX2MR2ORQZUCD46UHAO2BQ	88,892.76 Choice
114	NPYBQ2CX2NS6AMNWTPCHYV4H3EJ65MNCQD34NEIQRYQLL3GQ3AWVREDLMY	13,000 Choice
115	K7QHCXXQRRTLRUPO54SJIWRA3SEGS2JWH6ZRWKAY75DRVNZJPK3Y34VYK4	27,700 Choice
116	ETUQ6XIRWPW6FMIAFRUDRCAOQ4CJXCED3AENATZOYZSE4ZLZ4YGI435PX4	105,970 Choice
117	Z2GKR7XRSNJJJV36Z7C6P7CKMPP3XPNBR3E7KK523UH4L74UUIJKPF37LY	134,570 Choice
118	PSX7LW6WCBNKS6YDEUABNGZTPHYHH3HAZSWNOSNGH5IDUR3WLHZG33OSFY	1 Choice
119	PSX7LW6WCBNKS6YDEUABNGZTPHYHH3HAZSWNOSNGH5IDUR3WLHZG33OSFY	1,648 Choice
120	C2HXI5ET7WQSHJLM5NATLYMK6RF3PONWTCRJYWAJ2PLE2YI2NH5CXPTC34	2,362,000 Choice
121	NRVTOGF35BCQIRNAH5DPW34E32UCHIBPO6PIIK6ZZ27NNQPRX5BDN2LF7U	70,000 Choice
122	3KDHBKFOMD2FSPUMCQNEMXOJECDA5JSC7S57GGZZMHMCE6RKXVL45RG53Q	56.88 Choice
123	ZE4Z4PMCJSH7SC5QVRIEDKCZR4I3LLCKRZZMWI3YHLCWP6IRSJK7I7KB7M	468,000 Choice
124	IPW63JCG4KVY4OB2CPT4P2PXBIQF76JV5LWZGLD26NNTQ3OHV2LW7SXGD4	2,500 Choice
125	IRFAF4HC6L4CZUGTN6JI2OKNGCLGAX4Y5FEJLMZMSZ5GTX53BNZXOKHZHA	19,571 Choice
126	Q5VDRHYRW4ENOSGIKGFE4HGSLVCNBQPDCMGZ5NX7NOEKKH2K7XI7KQDR6I	33,933 Choice
127	PS6EN2XCP43YFRIMUOL4XWHR43JPKYDU2V3YFDH54AV2R5WNEZQP7SOX3I	1 Choice
128	E2KKHGPZBRWOXW3PKWBQZTQAHA2XUDOFKVGLUTUTOZTURW2ZICWMS67E6Y	1 Choice
129	2OMNHESNVGIXPJCWZR7EUEHKVKIH33FYAGMUMEYLLOB24Z4G22NS5V5OEQ	1 Choice
130	MDXSG5YFIYYHFLDYMWNKV5GX2MRVTRYFZ5C3TMI372E2ANH2SJSIQ5JTEM	295.11 Choice
131	5O5DOQKNJC63WHWLZGZLEYRMFQ3R3ZWSL5P573DZGGJ5SAF7UBZ7K3ERSM	2,909 Choice
132	FJONXN5PP2C36XVVNG3KCNXWLTADA7A232TCTIVTOZ3UHR77V6SQYYIMZA	1 Choice
133	BZJV2ZPTCCWN2GJSIDUFGGWRCMTRIBM64OTJNH6T4WSW6ZTWVVPMFV24RY	11,535 Choice
134	DT62D3ELFAZHYCVILIEGWQY27I4BO4EZRKL3Z2WM5FJZL7KM56MWYX2XRI	19,067 Choice
135	ACKDIF3VPPBTLY7KGDAOKVSQDZ2LRQ7THEMZP7IAUTKWCEX6L6YCPY6BFY	5,000 Choice
136	Y3XCJSDKWVZTHKVDAYW2GCKLFQHZOBXDMEUVZRJRSKBHBSB4HN5VYUI3BI	3,435 Choice
137	FJTDYK3TLSKIB5ZOKLRZPNG6YTTGYMIFHP7HVI6VOVWVNBH3IYNLAQBNGA	67,243 Choice
138	GVKWT3TYRBELEHDJA2UKN4PNWKG6THB4S5623BDKBIL6UCGYMN2OXYXNEM	240,000 Choice
139	GVKWT3TYRBELEHDJA2UKN4PNWKG6THB4S5623BDKBIL6UCGYMN2OXYXNEM	171 Choice
140	UD32W7R2XW6SYUQTOPPPNMM25MVZQMN6X4VYODTL5TUNYNUKY3UVUPVFPU	1 Choice
141	5O5DOQKNJC63WHWLZGZLEYRMFQ3R3ZWSL5P573DZGGJ5SAF7UBZ7K3ERSM	38,569 Choice
142	FJONXN5PP2C36XVVNG3KCNXWLTADA7A232TCTIVTOZ3UHR77V6SQYYIMZA	802.97 Choice
143	BZJV2ZPTCCWN2GJSIDUFGGWRCMTRIBM64OTJNH6T4WSW6ZTWVVPMFV24RY	18,721 Choice
144	DT62D3ELFAZHYCVILIEGWQY27I4BO4EZRKL3Z2WM5FJZL7KM56MWYX2XRI	1,590 Choice
145	ACKDIF3VPPBTLY7KGDAOKVSQDZ2LRQ7THEMZP7IAUTKWCEX6L6YCPY6BFY	16,404 Choice
146	JKYU5BUSOIBUZJRIQTVEGVJDUDINDY7LL5HV4PWKJ7B7OAA6VL3LNKDZF4	630 Choice
147	WTMN4234KHMRYFUHCZQWMCNSSYS54THDTN5TEXEQVIHX4AV62TR5TVRROI	1,616 Choice
148	RUKUTIGFENRTEXSU2U7XI3AU6UXYPHE4DW2F3NODYQZQ5JEW3EQHUODPXQ	6,350 Choice
149	LGWLJKUB3OXAC4QBBAX34NE2KQENVNUTP7RXM67M6F6KDCO3GCZRWQONQM	25,000 Choice
150	AC63V7LIVS2FGKDSCDQFW3NMO5X6DMC7M4PJ7YJTRX7RBF3UZENU24WWBU	16,023 Choice
